"High","Low","Volume","Open","Close"
0.617141996523298,0.564904189783048,0.309773955524209,0.538549352859957,39974.894531
0.10829476943048,0.112580392311477,0.208696067083922,0.11173559453463,7193.599121
0.000344336770334648,0.000925189571772146,9.6525589924928e-05,0.000357587950635061,235.977005
0.10973463047811,0.111307956710153,0.0461581171955267,0.109628831890574,7720.25
0.086979995623832,0.0801116047659999,0.0189472311633764,0.0838480184576634,6008.419922
0.0152950553971672,0.0159561076324362,0.00191275263067947,0.0145814069636406,1267.119995
0.00776527422504793,0.00621965941949515,0.00180515269166948,0.00845900394957263,629.367004
0.000135768414294658,0.000933554820957669,3.45295606660689e-05,0.000451019614974714,230.190002
0.000438826185352371,0.000985499224466706,8.76429809661606e-05,0.000754098180877079,236.153
0.0162810827282948,0.016700126476196,0.00331310123697488,0.0152834449933723,1347.890015
0.0129921847234937,0.0117788722778327,0.00313479555324616,0.0126438722599859,966.724976
0.00660946320798352,0.00637047404998699,0.000883421362386261,0.00556012874834211,672.783997
0.0620349580922753,0.0600792390994823,0.0241236395827043,0.0590206682380979,4087.659912
0.0125044209771512,0.0124702542577347,0.00149544586163792,0.0125085179402032,999.18103
0.142829533950385,0.144235087195019,0.1566581532157,0.1374333901892,9905.166992
0.835619697526569,0.75589055932585,0.58001507086658,0.857147004834705,49004.253906
0.556821927720458,0.469666981429204,0.645652548861435,0.49111035343296,33114.359375
0.00330358682729558,0.00427716747745394,0.000508580732634315,0.00376842277735654,439.322998
0.00765081648019046,0.00849867369064572,0.000856134625286342,0.00751075459242969,731.026001
0.0921913601849984,0.0993954468080274,0.0396450773021567,0.0941994527898706,6411.27002
0.169840158076729,0.122662248240254,0.0792191649693564,0.176757941579732,8277.009766
0.000963579375012314,0.00170551635815154,0.000106992990733786,0.00124281489979046,282.614014
0.00333197135569129,0.0041114240646231,0.000451846123614286,0.00330945645520461,458.554993
0.592416435848028,0.518202585694115,0.586796857029039,0.503800318303352,38903.441406
0.10438936907365,0.0969397840277878,0.0409291904779153,0.108215870153319,6300.859863
0.201238638501655,0.203513249007569,0.314165884612746,0.196291010415304,13737.109375
0.000494443223395086,0.00070495996184547,0.000195231419832147,0.000182484278048763,234.824997
0.00306009891303019,0.00357973621413641,0.000714589689304919,0.00339867728251965,407.707001
0.148125196557264,0.155724067193585,0.140686520988199,0.155194914984089,10070.392578
0.00319363562283547,0.00295040078886545,0.00079863587239649,0.00363233296325733,382.299011
0.00295624516673045,0.00397299616549315,0.00033789806989362,0.00324410632675339,430.566986
0.149050608856828,0.157800627550851,0.134093182028078,0.15666492152885,10347.712891
0.00248846535747084,0.00311992439655077,0.000388085672760564,0.00292216390490398,368.766998
0.167338623315978,0.134189151836456,0.0646894981660635,0.173341922126717,9578.629883
0.591476081217665,0.536485497721726,0.45672609339037,0.52808127946451,35678.128906
0.69502836158305,0.65153154798672,0.33340518909912,0.70587051783836,41911.601563
0.00234740228076021,0.0027567630558905,4.30632258270758e-05,0.00272179589919351,354.70401
0.037053301927994,0.0382469125775639,0.0118054397017261,0.0357918473068562,2589.409912
0.0076162908516985,0.00897833688010961,0.000584221959299973,0.00795889557436643,732.034973
0.130293485420167,0.127218224706193,0.315142641584776,0.122160820773513,8706.245117
0.00187098772778242,0.00239881346668769,3.44327695266527e-05,0.00219424918388844,325.891998
0.164772761100217,0.152886725561703,0.156723420126718,0.173277445787256,10345.810547
0.000664897729061604,0.00104572860356061,0.000128904574092672,0.000863943548878424,242.712997
0.00336603003588998,0.00446321243780246,0.000353238258862999,0.00377791591358509,457.567993
0.00712811937706935,0.00773916297499912,0.000748072008976388,0.00682424222223836,701.864014
0.191042437179634,0.180764888560423,0.274934576269563,0.172769844204835,13031.173828
0.0152321879778705,0.0145705433787471,0.0025872863870322,0.0161690693559759,1221.380005
0.10001084282876,0.0922056420747501,0.338491680689974,0.0874917087485312,6791.129395
0.11479633683499,0.0912574107943846,0.0393589692476635,0.0876863414450482,8036.490234
0.0971557919195166,0.0903036889284293,0.355319448155858,0.0860499031397777,5922.042969
0.103191547923607,0.104857591396718,0.0393277667271838,0.0995153409405294,7272.720215
0.849497392357158,0.815365188620362,0.525761325645297,0.877454896147133,55950.746094
0.163518660552402,0.16661808347486,0.335038967696964,0.160237137589074,11384.181641
0.156897889342507,0.161292913125305,0.34347319323513,0.164193609856736,10775.269531
0.662643560031584,0.668839097817371,0.230730008722549,0.646079127211386,42197.515625
0.000996690345484996,0.00164702462099121,0.000233267206911997,0.000969854470151948,286.393005
0.00256012776457252,0.00323970763388913,0.000502532324773189,0.00253079859788989,407.230011
0.0572401693742989,0.0500096289969633,0.0499684754732054,0.0602643347250102,3614.234375
0.093142234272254,0.0932965817032403,0.0402003479802602,0.0938586119384056,6506.069824
0.110048668411457,0.086024661548648,0.0420823486127756,0.110117428505034,5950.069824
0.0691871573012964,0.0652022746347816,0.0202216783741784,0.0638951282566327,4582.959961
0.000149727430432111,0.000970152408102326,4.44390427373486e-05,0.00038916047772111,240.953003
0.142799435659178,0.117039855264306,0.230364849665651,0.122701983833592,9551.714844
0.00341124736981147,0.0041656368166961,0.000616204918998746,0.00339613578102867,442.684998
0.864781915607431,0.704474709827756,0.631212896994683,0.888678024470877,46456.058594
0.117989463005321,0.108212871314332,0.260192204537709,0.103502159855274,8197.689453
0.013993818524666,0.0104893953954342,0.00240631994357911,0.0115172121011545,911.198975
0.155591796925397,0.153776877508521,0.151788274097221,0.146164894071033,10441.276367
0.000205198912700031,0.000930176476713288,8.85849335506946e-05,0.000435815224128981,230.511993
